127.0.0.1 - - [05/Jan/2023:11:14:36 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Jan/2023:11:14:42 +0530] "GET /Online-Voting-System/registration.html HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [05/Jan/2023:11:14:42 +0530] "GET /Online-Voting-System/registration.css HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [05/Jan/2023:11:15:35 +0530] "POST /Online-Voting-System/registerForm.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [05/Jan/2023:11:21:42 +0530] "POST /Online-Voting-System/registerForm.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:16:26 +0530] "GET /Online-Voting-System/ProjectFiles/contact.html HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:19:45 +0530] "GET /Online-Voting-System/ProjectFiles/registrationadmin.html HTTP/1.1" 200 4157
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:19:45 +0530] "GET /Online-Voting-System/ProjectFiles/navbar.css HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:19:45 +0530] "GET /Online-Voting-System/ProjectFiles/registrationadmin.css HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:19:45 +0530] "GET /Online-Voting-System/ProjectFiles/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:19:45 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:19:46 +0530] "GET /wave.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:13 +0530] "GET /Online-Voting-System/ProjectFiles/index.html HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:13 +0530] "GET /Online-Voting-System/ProjectFiles/styles.css HTTP/1.1" 200 3268
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:13 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:13 +0530] "GET /icons/Voting.jpg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:14 +0530] "GET /icons/Voting.jpg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:14 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:14 +0530] "GET /icons/FrontVote1.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:14 +0530] "GET /wave.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:17 +0530] "GET /Online-Voting-System/ProjectFiles/welcome.html HTTP/1.1" 200 4973
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:17 +0530] "GET /Online-Voting-System/ProjectFiles/welcome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:17 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:17 +0530] "GET /icons/Election.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:17 +0530] "GET /icons/view.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:18 +0530] "GET /icons/view.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:18 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:18 +0530] "GET /icons/Election.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:18 +0530] "GET /wave.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:18 +0530] "GET /icons/background.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:19 +0530] "GET /Online-Voting-System/ProjectFiles/loginvoter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:19 +0530] "GET /Online-Voting-System/ProjectFiles/loginvoter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:19 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:20 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:20 +0530] "GET /icons/Election.png HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:20 +0530] "GET /wave.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:28 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:28 +0530] "GET /icons/Voting.jpg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:28 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:28 +0530] "GET /icons/Voting.jpg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:28 +0530] "GET /wave.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:20:28 +0530] "GET /icons/FrontVote1.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:36 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:36 +0530] "GET /icons/Voting.jpg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:37 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:37 +0530] "GET /icons/FrontVote1.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:37 +0530] "GET /icons/Voting.jpg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:37 +0530] "GET /wave.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:39 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:39 +0530] "GET /icons/view.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:39 +0530] "GET /icons/Election.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:39 +0530] "GET /icons/view.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:39 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:39 +0530] "GET /icons/background.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:39 +0530] "GET /icons/Election.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:39 +0530] "GET /wave.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:42 +0530] "GET /Online-Voting-System/ProjectFiles/loginadmin.html HTTP/1.1" 200 3420
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:42 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:42 +0530] "GET /Online-Voting-System/ProjectFiles/loginadmin.css HTTP/1.1" 200 3804
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:42 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:42 +0530] "GET /icons/Election.png HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:42 +0530] "GET /wave.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:43 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:25:43 +0530] "GET /wave.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:31:27 +0530] "GET /Online-Voting-System/ProjectFiles/registrationadmin.html HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:31:27 +0530] "GET /icons/vote.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:31:27 +0530] "GET /wave.png HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [05/Jan/2023:19:32:26 +0530] "POST /Online-Voting-System/ProjectFiles/registerAdmin.jsp HTTP/1.1" 200 161
